task_id,created_at,assigned_at,start_move_at,arrived_at,start_service_at,end_service_at,from_node,to_node,distance_m,robot_id,status
1,2025-06-01 15:01:47,2025-06-01 15:02:52.920191,2025-06-01 15:03:05.830805,2025-06-01 15:04:01.200783,2025-06-01 15:04:05.582358,2025-06-01 15:04:48.930346,N09,N08,46.1,R2,done
2,2025-06-01 04:47:57,2025-06-01 04:49:55.774430,2025-06-01 04:50:03.378559,2025-06-01 04:51:37.631326,2025-06-01 04:51:40.834910,2025-06-01 04:53:04.313633,N18,N03,89.9,R5,done
3,2025-06-01 01:13:14,2025-06-01 01:14:27.842728,2025-06-01 01:14:32.653579,2025-06-01 01:16:22.409564,2025-06-01 01:16:30.485637,2025-06-01 01:17:34.491247,N17,N01,105.0,R5,done
4,2025-06-01 15:34:26,2025-06-01 15:37:25.395905,2025-06-01 15:37:25.395905,2025-06-01 15:38:53.227648,2025-06-01 15:39:00.312631,2025-06-01 15:39:36.227380,N08,N15,78.9,R5,done
5,2025-06-01 20:48:51,2025-06-01 20:49:51.803344,2025-06-01 20:49:59.131262,2025-06-01 20:51:47.394494,2025-06-01 20:51:51.390980,2025-06-01 20:52:35.173431,N06,N14,107.1,R3,done
6,2025-06-01 08:48:21,2025-06-01 08:49:36.525499,2025-06-01 08:49:43.876698,2025-06-01 08:51:38.601719,2025-06-01 08:51:43.952826,2025-06-01 08:53:12.803837,N04,N03,107.5,R4,done
7,2025-06-01 20:38:16,2025-06-01 20:39:52.113753,2025-06-01 20:40:00.830602,2025-06-01 20:41:15.258375,2025-06-01 20:41:20.780486,2025-06-01 20:42:23.444217,N02,N15,70.7,R5,done
8,2025-06-01 21:05:35,2025-06-01 21:06:25.913778,2025-06-01 21:06:28.836924,2025-06-01 21:07:52.531712,2025-06-01 21:07:57.199590,2025-06-01 21:09:03.135565,N10,N12,80.2,R5,done
9,2025-06-01 03:42:14,2025-06-01 03:42:28.566496,2025-06-01 03:42:33.851212,2025-06-01 03:44:12.946161,2025-06-01 03:44:17.893133,2025-06-01 03:44:48.427258,N10,N03,86.4,R2,done
10,2025-06-01 10:29:40,2025-06-01 10:35:16.505348,2025-06-01 10:35:25.543543,2025-06-01 10:36:53.611628,2025-06-01 10:36:58.596868,2025-06-01 10:38:02.155814,N12,N06,81.8,R3,done
