wo_id,line_id,station_id,op_seq,start_ts,end_ts,good_qty,scrap_qty,rework_flag
100000,L1,S01,1,2025-06-01 20:46:00,2025-06-01 20:47:31.877851,1,0,0
100000,L1,S02,2,2025-06-01 20:47:31.877851,2025-06-01 20:49:52.948536,1,0,0
100000,L1,S03,3,2025-06-01 20:49:52.948536,2025-06-01 20:51:00.282679,1,0,0
100000,L1,S04,4,2025-06-01 20:51:00.282679,2025-06-01 20:52:20.290532,1,0,0
100001,L1,S01,1,2025-06-01 08:48:00,2025-06-01 08:49:25.260584,1,0,0
100001,L1,S02,2,2025-06-01 08:49:25.260584,2025-06-01 08:51:39.156660,1,0,0
100001,L1,S03,3,2025-06-01 08:51:39.156660,2025-06-01 08:53:35.785711,1,0,0
100001,L1,S04,4,2025-06-01 08:53:35.785711,2025-06-01 08:54:52.822902,1,0,0
100002,L1,S01,1,2025-06-01 20:16:00,2025-06-01 20:17:50.132308,1,0,0
100002,L1,S02,2,2025-06-01 20:17:50.132308,2025-06-01 20:19:40.261128,1,0,0
100002,L1,S03,3,2025-06-01 20:19:40.261128,2025-06-01 20:21:08.101450,1,0,0
100002,L1,S04,4,2025-06-01 20:21:08.101450,2025-06-01 20:22:42.112890,1,0,0
100003,L1,S01,1,2025-06-01 11:29:00,2025-06-01 11:30:21.102053,1,0,0
100003,L1,S02,2,2025-06-01 11:30:21.102053,2025-06-01 11:32:34.081890,1,0,0
100003,L1,S03,3,2025-06-01 11:32:34.081890,2025-06-01 11:34:00.788938,1,0,0
100003,L1,S04,4,2025-06-01 11:34:00.788938,2025-06-01 11:35:43.914043,1,0,0
100004,L2,S05,1,2025-06-01 20:55:00,2025-06-01 20:56:23.716394,1,0,0
100004,L2,S06,2,2025-06-01 20:56:23.716394,2025-06-01 20:57:39.658669,1,0,0
100004,L2,S07,3,2025-06-01 20:57:39.658669,2025-06-01 20:59:41.863920,0,1,0
100004,L2,S08,4,2025-06-01 20:59:41.863920,2025-06-01 21:02:20.940490,1,0,0
100005,L1,S01,1,2025-06-01 08:02:00,2025-06-01 08:03:17.940430,1,0,0
100005,L1,S02,2,2025-06-01 08:03:17.940430,2025-06-01 08:05:15.030612,1,0,0
100005,L1,S03,3,2025-06-01 08:05:15.030612,2025-06-01 08:07:26.722475,1,0,0
100005,L1,S04,4,2025-06-01 08:07:26.722475,2025-06-01 08:08:18.047269,1,0,0
100006,L2,S05,1,2025-06-01 22:21:00,2025-06-01 22:23:06.261529,1,0,0
100006,L2,S06,2,2025-06-01 22:23:06.261529,2025-06-01 22:25:11.644309,1,0,0
100006,L2,S07,3,2025-06-01 22:25:11.644309,2025-06-01 22:28:03.624104,1,0,0
100006,L2,S08,4,2025-06-01 22:28:03.624104,2025-06-01 22:30:58.782354,1,0,0
100007,L1,S01,1,2025-06-01 20:10:00,2025-06-01 20:12:17.072283,1,0,0
100007,L1,S02,2,2025-06-01 20:12:17.072283,2025-06-01 20:13:40.897447,1,0,0
100007,L1,S03,3,2025-06-01 20:13:40.897447,2025-06-01 20:15:36.297943,1,0,0
100007,L1,S04,4,2025-06-01 20:15:36.297943,2025-06-01 20:16:48.807695,1,0,0
100008,L2,S05,1,2025-06-01 10:52:00,2025-06-01 10:54:20.538724,1,0,0
100008,L2,S06,2,2025-06-01 10:54:20.538724,2025-06-01 10:56:37.067058,1,0,0
100008,L2,S07,3,2025-06-01 10:56:37.067058,2025-06-01 10:59:00.488381,1,0,0
100008,L2,S08,4,2025-06-01 10:59:00.488381,2025-06-01 11:01:31.904827,1,0,0
100009,L2,S05,1,2025-06-01 09:09:00,2025-06-01 09:11:05.916303,1,0,0
100009,L2,S06,2,2025-06-01 09:11:05.916303,2025-06-01 09:14:02.811541,1,0,0
100009,L2,S07,3,2025-06-01 09:14:02.811541,2025-06-01 09:16:04.654007,1,0,0
100009,L2,S08,4,2025-06-01 09:16:04.654007,2025-06-01 09:17:59.129222,1,0,0
100010,L1,S01,1,2025-06-01 11:16:00,2025-06-01 11:17:58.224131,1,0,0
100010,L1,S02,2,2025-06-01 11:17:58.224131,2025-06-01 11:19:54.149245,1,0,0
100010,L1,S03,3,2025-06-01 11:19:54.149245,2025-06-01 11:22:28.472242,1,0,0
100010,L1,S04,4,2025-06-01 11:22:28.472242,2025-06-01 11:23:48.049892,1,0,0
100011,L2,S05,1,2025-06-01 20:20:00,2025-06-01 20:22:18.034818,1,0,0
100011,L2,S06,2,2025-06-01 20:22:18.034818,2025-06-01 20:24:44.393967,1,0,0
100011,L2,S07,3,2025-06-01 20:24:44.393967,2025-06-01 20:26:58.425286,1,0,0
100011,L2,S08,4,2025-06-01 20:26:58.425286,2025-06-01 20:29:19.990409,1,0,0
100012,L1,S01,1,2025-06-01 23:54:00,2025-06-01 23:56:11.096953,1,0,0
100012,L1,S02,2,2025-06-01 23:56:11.096953,2025-06-01 23:58:39.780548,1,0,0
100012,L1,S03,3,2025-06-01 23:58:39.780548,2025-06-02 00:01:18.938824,1,0,0
100012,L1,S04,4,2025-06-02 00:01:18.938824,2025-06-02 00:02:36.199253,1,0,0
100013,L2,S05,1,2025-06-01 10:56:00,2025-06-01 10:58:15.106677,1,0,0
100013,L2,S06,2,2025-06-01 10:58:15.106677,2025-06-01 11:00:24.526007,1,0,0
100013,L2,S07,3,2025-06-01 11:00:24.526007,2025-06-01 11:02:20.900150,1,0,0
100013,L2,S08,4,2025-06-01 11:02:20.900150,2025-06-01 11:03:42.523703,1,0,0
100014,L2,S05,1,2025-06-01 10:51:00,2025-06-01 10:52:32.927240,1,0,0
100014,L2,S06,2,2025-06-01 10:52:32.927240,2025-06-01 10:55:32.804776,1,0,0
100014,L2,S07,3,2025-06-01 10:55:32.804776,2025-06-01 10:57:13.766887,1,0,0
100014,L2,S08,4,2025-06-01 10:57:13.766887,2025-06-01 10:59:33.020055,1,0,0
100015,L2,S05,1,2025-06-01 20:09:00,2025-06-01 20:11:00.685677,1,0,0
100015,L2,S06,2,2025-06-01 20:11:00.685677,2025-06-01 20:13:29.953563,1,0,0
100015,L2,S07,3,2025-06-01 20:13:29.953563,2025-06-01 20:16:04.254729,1,0,0
100015,L2,S08,4,2025-06-01 20:16:04.254729,2025-06-01 20:18:23.057388,1,0,0
100016,L1,S01,1,2025-06-01 21:50:00,2025-06-01 21:51:48.258347,1,0,0
100016,L1,S02,2,2025-06-01 21:51:48.258347,2025-06-01 21:53:36.534691,1,0,0
100016,L1,S03,3,2025-06-01 21:53:36.534691,2025-06-01 21:55:50.164715,1,0,0
100016,L1,S04,4,2025-06-01 21:55:50.164715,2025-06-01 21:57:39.586005,1,0,0
100017,L2,S05,1,2025-06-01 22:12:00,2025-06-01 22:13:37.741605,1,0,0
100017,L2,S06,2,2025-06-01 22:13:37.741605,2025-06-01 22:15:59.073489,1,0,0
100017,L2,S07,3,2025-06-01 22:15:59.073489,2025-06-01 22:18:13.798544,1,0,0
100017,L2,S08,4,2025-06-01 22:18:13.798544,2025-06-01 22:19:36.505506,1,0,0
100018,L1,S01,1,2025-06-01 10:14:00,2025-06-01 10:15:58.849506,1,0,0
100018,L1,S02,2,2025-06-01 10:15:58.849506,2025-06-01 10:18:20.159712,1,0,0
100018,L1,S03,3,2025-06-01 10:18:20.159712,2025-06-01 10:19:59.169523,1,0,0
100018,L1,S04,4,2025-06-01 10:19:59.169523,2025-06-01 10:22:10.658403,1,0,0
100019,L1,S01,1,2025-06-01 08:25:00,2025-06-01 08:26:36.157750,1,0,0
100019,L1,S02,2,2025-06-01 08:26:36.157750,2025-06-01 08:28:37.657295,1,0,0
100019,L1,S03,3,2025-06-01 08:28:37.657295,2025-06-01 08:30:32.605659,1,0,0
100019,L1,S04,4,2025-06-01 08:30:32.605659,2025-06-01 08:32:07.661962,1,0,0
100020,L1,S01,1,2025-06-01 10:19:00,2025-06-01 10:21:28.258026,1,0,0
100020,L1,S02,2,2025-06-01 10:21:28.258026,2025-06-01 10:23:21.530438,1,0,0
100020,L1,S03,3,2025-06-01 10:23:21.530438,2025-06-01 10:25:30.222823,1,0,0
100020,L1,S04,4,2025-06-01 10:25:30.222823,2025-06-01 10:26:28.674130,1,0,0
100021,L1,S01,1,2025-06-01 22:01:00,2025-06-01 22:03:46.750989,1,0,0
100021,L1,S02,2,2025-06-01 22:03:46.750989,2025-06-01 22:05:12.976291,1,0,0
100021,L1,S03,3,2025-06-01 22:05:12.976291,2025-06-01 22:06:32.295759,1,0,0
100021,L1,S04,4,2025-06-01 22:06:32.295759,2025-06-01 22:07:46.917940,1,0,0
100022,L1,S01,1,2025-06-01 09:45:00,2025-06-01 09:46:23.866072,1,0,0
100022,L1,S02,2,2025-06-01 09:46:23.866072,2025-06-01 09:48:34.448978,1,0,0
100022,L1,S03,3,2025-06-01 09:48:34.448978,2025-06-01 09:50:38.580153,1,0,0
100022,L1,S04,4,2025-06-01 09:50:38.580153,2025-06-01 09:52:19.553077,1,0,0
100023,L1,S01,1,2025-06-01 09:18:00,2025-06-01 09:19:53.915107,1,0,0
100023,L1,S02,2,2025-06-01 09:19:53.915107,2025-06-01 09:22:41.837841,1,0,0
100023,L1,S03,3,2025-06-01 09:22:41.837841,2025-06-01 09:24:21.669593,1,0,0
100023,L1,S04,4,2025-06-01 09:24:21.669593,2025-06-01 09:25:38.756372,1,0,0
100024,L1,S01,1,2025-06-01 11:33:00,2025-06-01 11:35:26.386491,1,0,0
100024,L1,S02,2,2025-06-01 11:35:26.386491,2025-06-01 11:37:06.270066,1,0,0
100024,L1,S03,3,2025-06-01 11:37:06.270066,2025-06-01 11:38:47.580088,1,0,0
100024,L1,S04,4,2025-06-01 11:38:47.580088,2025-06-01 11:39:48.119643,1,0,0
100025,L2,S05,1,2025-06-01 22:23:00,2025-06-01 22:24:42.066733,1,0,0
100025,L2,S06,2,2025-06-01 22:24:42.066733,2025-06-01 22:26:19.818100,1,0,0
100025,L2,S07,3,2025-06-01 22:26:19.818100,2025-06-01 22:28:38.271313,1,0,0
100025,L2,S08,4,2025-06-01 22:28:38.271313,2025-06-01 22:30:43.964138,1,0,0
100026,L2,S05,1,2025-06-01 10:26:00,2025-06-01 10:28:02.071009,1,0,0
100026,L2,S06,2,2025-06-01 10:28:02.071009,2025-06-01 10:30:09.144993,1,0,0
100026,L2,S07,3,2025-06-01 10:30:09.144993,2025-06-01 10:32:40.119986,1,0,0
100026,L2,S08,4,2025-06-01 10:32:40.119986,2025-06-01 10:34:58.123215,1,0,0
100027,L2,S05,1,2025-06-01 21:54:00,2025-06-01 21:56:11.323840,1,0,0
100027,L2,S06,2,2025-06-01 21:56:11.323840,2025-06-01 21:58:22.230488,1,0,0
100027,L2,S07,3,2025-06-01 21:58:22.230488,2025-06-01 22:01:28.684291,1,0,0
100027,L2,S08,4,2025-06-01 22:01:28.684291,2025-06-01 22:03:58.744907,1,0,0
100028,L1,S01,1,2025-06-01 11:02:00,2025-06-01 11:04:10.943253,1,0,0
100028,L1,S02,2,2025-06-01 11:04:10.943253,2025-06-01 11:06:01.658891,1,0,0
100028,L1,S03,3,2025-06-01 11:06:01.658891,2025-06-01 11:07:15.865180,1,0,0
100028,L1,S04,4,2025-06-01 11:07:15.865180,2025-06-01 11:08:51.597808,1,0,0
100029,L1,S01,1,2025-06-01 08:14:00,2025-06-01 08:15:58.933550,1,0,0
100029,L1,S02,2,2025-06-01 08:15:58.933550,2025-06-01 08:17:26.716892,1,0,0
100029,L1,S03,3,2025-06-01 08:17:26.716892,2025-06-01 08:19:04.555290,1,0,0
100029,L1,S04,4,2025-06-01 08:19:04.555290,2025-06-01 08:20:20.558709,1,0,0
100030,L2,S05,1,2025-06-01 21:35:00,2025-06-01 21:36:45.070438,1,0,1
100030,L2,S06,2,2025-06-01 21:36:45.070438,2025-06-01 21:39:47.735826,1,0,1
100030,L2,S07,3,2025-06-01 21:39:47.735826,2025-06-01 21:43:10.214900,1,0,1
100030,L2,S08,4,2025-06-01 21:43:10.214900,2025-06-01 21:46:03.749275,1,0,1
100031,L1,S01,1,2025-06-01 23:06:00,2025-06-01 23:07:16.352935,1,0,0
100031,L1,S02,2,2025-06-01 23:07:16.352935,2025-06-01 23:09:27.107429,1,0,0
100031,L1,S03,3,2025-06-01 23:09:27.107429,2025-06-01 23:10:50.903796,1,0,0
100031,L1,S04,4,2025-06-01 23:10:50.903796,2025-06-01 23:12:31.030799,1,0,0
100032,L1,S01,1,2025-06-01 08:41:00,2025-06-01 08:42:59.600328,1,0,0
100032,L1,S02,2,2025-06-01 08:42:59.600328,2025-06-01 08:44:54.069856,1,0,0
100032,L1,S03,3,2025-06-01 08:44:54.069856,2025-06-01 08:46:06.288030,1,0,0
100032,L1,S04,4,2025-06-01 08:46:06.288030,2025-06-01 08:47:11.828251,1,0,0
100033,L1,S01,1,2025-06-01 20:49:00,2025-06-01 20:51:24.117454,1,0,0
100033,L1,S02,2,2025-06-01 20:51:24.117454,2025-06-01 20:53:17.691658,1,0,0
100033,L1,S03,3,2025-06-01 20:53:17.691658,2025-06-01 20:55:23.736925,1,0,0
100033,L1,S04,4,2025-06-01 20:55:23.736925,2025-06-01 20:57:41.643147,1,0,0
100034,L1,S01,1,2025-06-01 20:47:00,2025-06-01 20:48:36.738439,1,0,1
100034,L1,S02,2,2025-06-01 20:48:36.738439,2025-06-01 20:50:23.731027,1,0,1
100034,L1,S03,3,2025-06-01 20:50:23.731027,2025-06-01 20:52:39.502880,1,0,1
